emoticon	category	Description
(ー_ー)!!	straight_face	Shame
(一一)	straight_face	Shame
:-||	straight_mouth	neutral, Frown, sad, angry,pouting
:‑|	straight_mouth	Straight face, no expression, indecision
:|	straight_mouth	Straight face, no expression, indecision
('_')	straight_mouth	Sad, crying
(-_-;)	sweating	Nervous, embarrassed,troubled, shy, sweat drop
(・_・;)	sweating	Nervous, embarrassed,troubled, shy, sweat drop
(・・;)	sweating	Nervous, embarrassed,troubled, shy, sweat drop
(・.・;)	sweating	Nervous, embarrassed,troubled, shy, sweat drop
(^_^;)	sweating	Nervous, embarrassed,troubled, shy, sweat drop
(^_^メ)	sweating	Worried
(^^;)	sweating	Nervous, embarrassed,troubled, shy, sweat drop
(^^ゞ	sweating	Nervous, embarrassed,troubled, shy, sweat drop
(ーー;)	sweating	Worried
(ーー゛)	sweating	Worried
^_^;	sweating	Nervous, embarrassed,troubled, shy, sweat drop
^^;	sweating	Nervous, embarrassed,troubled, shy, sweat drop
(╯°□°）╯︵ ┻━┻	table_flip	Table flip
(ノಠ益ಠ)ノ彡┻━┻	table_flip	Table flip
┬──┬ ¯\_(ツ)	table_flip	Table flip
┬─┬ノ( º _ ºノ)	table_flip	Table flip
┻━┻︵ヽ(`Д´)ﾉ︵ ┻━┻	table_flip	Table flip
(=_=)	tired	Tired
:‑b	tongue_out	Tongue sticking out, cheeky, playful, blowing a raspberry
:‑P	tongue_out	Tongue sticking out, cheeky, playful, blowing a raspberry
:‑Þ	tongue_out	Tongue sticking out, cheeky, playful, blowing a raspberry
:b	tongue_out	Tongue sticking out, cheeky, playful, blowing a raspberry
:P	tongue_out	Tongue sticking out, cheeky, playful, blowing a raspberry
:Þ	tongue_out	Tongue sticking out, cheeky, playful, blowing a raspberry
=p	tongue_out	Tongue sticking out, cheeky, playful, blowing a raspberry
>:P	tongue_out	Tongue sticking out, cheeky, playful, blowing a raspberry
(-_-)/~~~	waving	Waving
(^_^)/~	waving	Waving
(^.^)/~~~	waving	Waving
(^^)/~~~	waving	Waving
(°°)～	waving	Animal,Tadpole, waving
($··)/~~~	waving	Waving
(T_T)/~~~	waving	waving_goodbye;crying;waving_crying
(ToT)/~~~	waving	waving_goodbye;crying;waving_crying
(・・?	wide_eyed	Confusion
(・・)?	wide_eyed	Confusion
(・∀・)	wide_eyed
(・へ・)	wide_eyed	Worried
(＠_＠;)	wide_eyed	Amazed
(@_@。	wide_eyed	Amazed
(@_@)	wide_eyed	Amazed
(@^^)/~~~	wide_eyed	Waving
(*_*;	wide_eyed	Amazed
(*_*)	wide_eyed	Amazed
(*´▽｀*)	wide_eyed	Infatuation
(*°∀°)=3	wide_eyed	Infatuation
(^0_0^)	wide_eyed	Eyeglasses
(°_°)	wide_eyed	Confused
